rank,codepoint_hex,char_display,count,fraction_of_total,unicode_major_category,unicode_bucket,unicode_name
922,U+1E93,ẓ,55,7.29426414e-08,Ll,letter,LATIN SMALL LETTER Z WITH DOT BELOW
923,U+1F14,ἔ,55,7.29426414e-08,Ll,letter,GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
924,U+533A,区,55,7.29426414e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-533A
925,U+53E4,古,55,7.29426414e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-53E4
926,U+5F0F,式,55,7.29426414e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5F0F
927,U+6708,月,55,7.29426414e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-6708
928,U+C5D0,에,55,7.29426414e-08,Lo,letter,HANGUL SYLLABLE E
929,U+10914,𐤔,55,7.29426414e-08,Lo,letter,PHOENICIAN LETTER SHIN
930,U+1F641,🙁,55,7.29426414e-08,So,punct_or_symbol,SLIGHTLY FROWNING FACE
931,U+03A8,Ψ,54,7.16164115e-08,Lu,letter,GREEK CAPITAL LETTER PSI
932,U+0ABE,ા,54,7.16164115e-08,Mc,other,GUJARATI VOWEL SIGN AA
933,U+179A,រ,54,7.16164115e-08,Lo,letter,KHMER LETTER RO
934,U+1EDD,ờ,54,7.16164115e-08,Ll,letter,LATIN SMALL LETTER O WITH HORN AND GRAVE
935,U+308A,り,54,7.16164115e-08,Lo,letter,HIRAGANA LETTER RI
936,U+7279,特,54,7.16164115e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-7279
937,U+77F3,石,54,7.16164115e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-77F3
938,U+C6B0,우,54,7.16164115e-08,Lo,letter,HANGUL SYLLABLE U
939,U+C804,전,54,7.16164115e-08,Lo,letter,HANGUL SYLLABLE JEON
940,U+032F,̯,53,7.02901817e-08,Mn,other,COMBINING INVERTED BREVE BELOW
941,U+04BB,һ,53,7.02901817e-08,Ll,letter,CYRILLIC SMALL LETTER SHHA
942,U+053F,Կ,53,7.02901817e-08,Lu,letter,ARMENIAN CAPITAL LETTER KEN
943,U+0722,ܢ,53,7.02901817e-08,Lo,letter,SYRIAC LETTER NUN
944,U+0E07,ง,53,7.02901817e-08,Lo,letter,THAI CHARACTER NGO NGU
945,U+0E40,เ,53,7.02901817e-08,Lo,letter,THAI CHARACTER SARA E
